Cluster ‐ 1,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
442,Azadpur(T),Nehru Place(T),"1. Azadpur 2. Ashok Vihar Xing 3. Wpd‐I 4. Punjabi Bagh  (T)5. Pun.Bagh Club 6. Raja Garden 7. Maya Puri Depot8.
Naraina Village 9. Barar Square 10. R.R.Line11. Dhaula Kuan 12. Moti Bagh‐I 13. Nauroji Ngr 14. Aiims15. Andrews Ganj 16. Sant Ngr 17. Nehru Place Trml.",29,31,5,50,30,20
431,Tara Appt.,Azad Pur,"1.Azad  Pur  2.Model  Town 3.G.T.B.  Nagar  4.Old  Sectt.5.  I.S.B.T  6.Yamana  Bazar7.Shanti  Van  8.I.T.O  ring  Road 9.Pragati Maidan 10. Sunder Nagar 11.P.S. Nizamuddin  12. Ashram 13.N.S.P.D. 14. Nehru Place 15.KalkaJi 16.
DDA Flats Kalkaji 16. Tara Apptt.",0,33.9,15,18,11,7
447,Bhalswa JJ Cly,Ambedkar Ngr Sect-5,1.  Bhalswa  Jj  Cly  2.  Mukand  Pur  3.  Burari  Xing  4.  Jagat  Pur  5.  Majnu  Ka  Tilla  6.  Raksha  Vigyan  Kend  7.  Isbt  8. Yamuna  Bzr  9.  Shanti  Van  10  .Delhi  Gate  11.  Supreme  Court  12.  Sunder  Ngr/Golf  Club  13.  Ps  Nizamuddin  14. Ashram 15. Sapna Cinema 16. Sant Nagr 17. Kalkaji 18. Dda Flats 19. Hamdard Ngr 20. Ambedkar Ngr.,1,38,15,20,12,8
628,SJ Trml.,Uttam Nagar(T),"1.S.J. T. 2. .Sj. Hospital 3. Mohd Pur 4. R.K.Puram Sect‐I 5. S.M. Temple 6. Aps Colony 7. N.H. Xing 8. Palam Air Port
9. More Line 10. Sadar Cant 11. Kirbi Place 12. Lajwanti Grd.13. Tilak Ngr 14. Distt Centre 15. Uttam Ngr.",0,22,15,12,7,5
709,IGI Airport,Sultanpuri GH- Block,"1. Igi Airport  2.Cargo Terml  3. Nangal Dewat  4. Mahipal Pur Xing5. N.H. Way Xing   6. Aps Colony  7. Subroto Park 8.Dhaula   Kuan9.   Rr   Line    10.   Brar   Square    11.Naraina   Vill.    12.   Mp   Chowk,13.   Raja   Garden    14.   P.B.Club 15.P.B.Terml  16.Madi Pur 17. Peera Garhi   18. B‐Blk Mangolpuri   19. S‐Blk Mangolpuri,20. Sultanpuri Gh Block",0,41.6,15,22,13,9
512,R.K.Puram -1,"Ambedkar Nagar Sec-IV) (VIRAT
CINEMA)",1.R.K. Puram Sec‐1 2. Mohd. Pur 3. S.N.Depot 4.I.N.A Colony 5. S.K Hospital 6.IIT Gate 7. Panchsheel Club 8. Begam Pur 9.Saket Market 10.J.Block 11.Ambedkar Nagar 12.Ambedkar Nagar Sect‐IV‐(Virat Cinema),13,16.9,10,14,8,6
546,Uttam Ngr (T),Hamdard Nagar,"1. Uttam Ngr (T) 2. Distt Centre 3. Tilak Ngr 4. Lajwanti Garden 5. Kirby Place 6. Shastri Bazar 7. RR Lines 8. Dh Kuan 9. RLA College 10. RKP Sec-8 11. RKP-1 12. JNU 13.Qutab Enclave 14. PTS 15. Saket Mkt 16. AN (T) 17.
Hamdard Ngr",0,31.5,15,17,10,7
413,Nizamuddin  Rly.S,Mehrauli,"1.  Nizamuddin  Rly.Stn  2.  Ashram  3.  Lajpat  Ngr.4.  Andrewsganj  5.  Khel  Gaon  6.  Begampur  7.  Police  T.School  8.
Mehrauli",11,13.4,10,11,6,5
529,Nehru Place(T),Sayed Nangloi,"1. N.P.Terml 2. Sant Ngr 3. Andrews Ganj 4. Aiims,5. Nauroji Ngr 6. Moti Bag 7. ,Dhaula Kuan 8. R.R.Lines, 9. Barar Square  10.  Naraina  Vill  11.  Mpd  12.  Raja  Garden,13.  Raghubir  Ngr.  14.  Road  No.29/30  Xing  15.Paschim  Vihar
W.T.16. Guru Harikishan Ngr. 17. Nangloi Syed",3,28,15,15,9,6
,,,Total Buses,177,,,602,363,239
Cluster ‐ 3,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
196,Shivaji Stadium,Rohini Sec.18,"1. Shivaji Stadium 2. Kend Terml. 3. Upper Ridge Rd 4. Shanker Rd 5. Wp Ngr 6. Karam Pura  7. Pb Terml.8. Wp Depot‐I 9. Kd Blk Pitam Pura 10. Rohini Sec‐7,8,9 Xing 11. Vidya Vihar Marg Xing 12. Rohini Sec‐18.",1,23.8,15,13,8,5
210,Kend.Terminal,Mandoli Sewa Dham,"1. Kend T. 2. Regal 3. Viveka Nand Marg 4. Delhi Gate 5. Red Fort 6. Isbt 7. Shyam Giri Mandir 8. New Usman Pur
Pusta No.‐I 9. Gamri Extn.Pusta No.5 10. Bhajan Pura 11. C‐4 Yamuna Vihar 12. Mandoli Xing 13. Mandoli Sewa Dham.",0,24,15,13,8,5
213,Jama Masjid,Harsh Vihar,"1.N.D.Rly Station 2. Delhi Gate 3.Red Fort 4.I.S.B.T.5.Shyam Gir Mandir 6.Seelam Pur 7.Babar Pur 8.Jyoti Colont 9.
Nand Nagri 10. Harash Vihar",6,19,12,13,8,5
280,Kend.Terminal,Nand Nagri(T),"1. Kend T.2. Regal 3. Mandi House 4. Ito (Agcr) 5. Rainy Well 6. Shakar Pur 7. Jagat Puri A‐ Blk 8. Swaran Cinema  9.
Shahdra 10. Dilshad Garden A/D Blk 11. Anand Gram 12. Nand Nagri T.",3,23.7,15,13,8,5
281,Kend.Terminal,Dilshad Garden,"1. Kend T. 2. Regal 3. Mandi House 4. Ito ( Agcr) 5. Rainy Well 6. Shakar Pur 7. Hargovind Enclave 8. Yojana Vihar 9.
Surya Ngr 10. Police Post Dilshad Garden 11. Dilshad Grd",7,21,12,14,8,6
